,Title_of_the_Review,Review_of_the_movie,clean_txt,tokens,text_stem,text_lem
143,A mish-mash of genres that don't work on the whole.,"The very first question to be asked would be, ""Why was this movie even made in the first place?"" It's one of those ones that tries to be too much and ultimately fails at everything. It starts off as a love story, then turns into ""Filthy Rich Asians,"" and then ends as a conventional action pic. A romantic feminist vibe is terribly present throughout the entire picture, which wouldn't be that bad if that was all it was about. But this movie has trouble settling on one single narrative. It's almost like an asian version of ""Rocky Horror Picture Show."" As is typical of this current generation of filmmaking, it's just another ""People running around doing things"" movie. The market is just saturated with these SFX garbage movies which this summer was full of!!",the first question asked would why movie even made first place its one ones tries much ultimately fails everything it starts love story turns filthy rich asians ends conventional action pic a romantic feminist vibe terribly present throughout entire picture wouldnt bad but movie trouble settling one single narrative its almost like asian version rocky horror picture show as typical current generation filmmaking another people running around things movie the market saturated sfx garbage movies summer full,"['the', 'first', 'question', 'asked', 'would', 'why', 'movie', 'even', 'made', 'first', 'place', 'its', 'one', 'ones', 'tries', 'much', 'ultimately', 'fails', 'everything', 'it', 'starts', 'love', 'story', 'turns', 'filthy', 'rich', 'asians', 'ends', 'conventional', 'action', 'pic', 'a', 'romantic', 'feminist', 'vibe', 'terribly', 'present', 'throughout', 'entire', 'picture', 'wouldnt', 'bad', 'but', 'movie', 'trouble', 'settling', 'one', 'single', 'narrative', 'its', 'almost', 'like', 'asian', 'version', 'rocky', 'horror', 'picture', 'show', 'as', 'typical', 'current', 'generation', 'filmmaking', 'another', 'people', 'running', 'around', 'things', 'movie', 'the', 'market', 'saturated', 'sfx', 'garbage', 'movies', 'summer', 'full']","['the', 'first', 'question', 'ask', 'would', 'whi', 'movi', 'even', 'made', 'first', 'place', 'it', 'one', 'one', 'tri', 'much', 'ultim', 'fail', 'everyth', 'it', 'start', 'love', 'stori', 'turn', 'filthi', 'rich', 'asian', 'end', 'convent', 'action', 'pic', 'a', 'romant', 'feminist', 'vibe', 'terribl', 'present', 'throughout', 'entir', 'pictur', 'wouldnt', 'bad', 'but', 'movi', 'troubl', 'settl', 'one', 'singl', 'narrat', 'it', 'almost', 'like', 'asian', 'version', 'rocki', 'horror', 'pictur', 'show', 'as', 'typic', 'current', 'generat', 'filmmak', 'anoth', 'peopl', 'run', 'around', 'thing', 'movi', 'the', 'market', 'satur', 'sfx', 'garbag', 'movi', 'summer', 'full']","['the', 'first', 'question', 'asked', 'would', 'why', 'movie', 'even', 'made', 'first', 'place', 'it', 'one', 'one', 'try', 'much', 'ultimately', 'fails', 'everything', 'it', 'start', 'love', 'story', 'turn', 'filthy', 'rich', 'asian', 'end', 'conventional', 'action', 'pic', 'a', 'romantic', 'feminist', 'vibe', 'terribly', 'present', 'throughout', 'entire', 'picture', 'wouldnt', 'bad', 'but', 'movie', 'trouble', 'settling', 'one', 'single', 'narrative', 'it', 'almost', 'like', 'asian', 'version', 'rocky', 'horror', 'picture', 'show', 'a', 'typical', 'current', 'generation', 'filmmaking', 'another', 'people', 'running', 'around', 'thing', 'movie', 'the', 'market', 'saturated', 'sfx', 'garbage', 'movie', 'summer', 'full']"
144,Works as an introductory movie but has a boring story,"This film manages to introduce the character in this universe, but the story that unfolds is boring.

The conflict changes several times, it even takes the main character to a lake to concentrate on something else, it becomes cyclical, it is incongruous, it has many script holes, you do not feel much emotion when the fights appear. The visuals are very good, the editing is good most of the time, although the sound of some mythological elements is not very good, like the performance of the actor who plays the antagonist, the ending feels a bit forced.

This film is not innovative in the genre and is predictable, making it somewhat boring.",this film manages introduce character universe story unfolds boringthe conflict changes several times even takes main character lake concentrate something else becomes cyclical incongruous many script holes feel much emotion fights appear the visuals good editing good time although sound mythological elements good like performance actor plays antagonist ending feels bit forcedthis film innovative genre predictable making somewhat boring,"['this', 'film', 'manages', 'introduce', 'character', 'universe', 'story', 'unfolds', 'boringthe', 'conflict', 'changes', 'several', 'times', 'even', 'takes', 'main', 'character', 'lake', 'concentrate', 'something', 'else', 'becomes', 'cyclical', 'incongruous', 'many', 'script', 'holes', 'feel', 'much', 'emotion', 'fights', 'appear', 'the', 'visuals', 'good', 'editing', 'good', 'time', 'although', 'sound', 'mythological', 'elements', 'good', 'like', 'performance', 'actor', 'plays', 'antagonist', 'ending', 'feels', 'bit', 'forcedthis', 'film', 'innovative', 'genre', 'predictable', 'making', 'somewhat', 'boring']","['this', 'film', 'manag', 'introduc', 'charact', 'univers', 'stori', 'unfold', 'boringth', 'conflict', 'chang', 'sever', 'time', 'even', 'take', 'main', 'charact', 'lake', 'concentr', 'someth', 'els', 'becom', 'cyclic', 'incongru', 'mani', 'script', 'hole', 'feel', 'much', 'emot', 'fight', 'appear', 'the', 'visual', 'good', 'edit', 'good', 'time', 'although', 'sound', 'mytholog', 'element', 'good', 'like', 'perform', 'actor', 'play', 'antagonist', 'end', 'feel', 'bit', 'forcedthi', 'film', 'innov', 'genr', 'predict', 'make', 'somewhat', 'bore']","['this', 'film', 'manages', 'introduce', 'character', 'universe', 'story', 'unfolds', 'boringthe', 'conflict', 'change', 'several', 'time', 'even', 'take', 'main', 'character', 'lake', 'concentrate', 'something', 'else', 'becomes', 'cyclical', 'incongruous', 'many', 'script', 'hole', 'feel', 'much', 'emotion', 'fight', 'appear', 'the', 'visuals', 'good', 'editing', 'good', 'time', 'although', 'sound', 'mythological', 'element', 'good', 'like', 'performance', 'actor', 'play', 'antagonist', 'ending', 'feel', 'bit', 'forcedthis', 'film', 'innovative', 'genre', 'predictable', 'making', 'somewhat', 'boring']"
145,Very well done,I mean this move was just a fun ride from start to finish with secrets and just really good nods to Asian mythology.,i mean move fun ride start finish secrets really good nods asian mythology,"['i', 'mean', 'move', 'fun', 'ride', 'start', 'finish', 'secrets', 'really', 'good', 'nods', 'asian', 'mythology']","['i', 'mean', 'move', 'fun', 'ride', 'start', 'finish', 'secret', 'realli', 'good', 'nod', 'asian', 'mytholog']","['i', 'mean', 'move', 'fun', 'ride', 'start', 'finish', 'secret', 'really', 'good', 'nod', 'asian', 'mythology']"
146,Boring,"I found this very slow moving and boring.

Special effects are silly looking.

Drags on. Ends. Tells you this is the start of a whole new Marvel strand. Oh dear.",i found slow moving boringspecial effects silly lookingdrags ends tells start whole new marvel strand oh dear,"['i', 'found', 'slow', 'moving', 'boringspecial', 'effects', 'silly', 'lookingdrags', 'ends', 'tells', 'start', 'whole', 'new', 'marvel', 'strand', 'oh', 'dear']","['i', 'found', 'slow', 'move', 'boringspeci', 'effect', 'silli', 'lookingdrag', 'end', 'tell', 'start', 'whole', 'new', 'marvel', 'strand', 'oh', 'dear']","['i', 'found', 'slow', 'moving', 'boringspecial', 'effect', 'silly', 'lookingdrags', 'end', 'tell', 'start', 'whole', 'new', 'marvel', 'strand', 'oh', 'dear']"
147,"Not bad , not great",Honestly I start doubting that I saw another movie ! I don't know what all the hype about !! Another Marvel movie packed with a lot of action scenes and visual effects but weak and predictable story !,honestly i start doubting i saw another movie i dont know hype another marvel movie packed lot action scenes visual effects weak predictable story,"['honestly', 'i', 'start', 'doubting', 'i', 'saw', 'another', 'movie', 'i', 'dont', 'know', 'hype', 'another', 'marvel', 'movie', 'packed', 'lot', 'action', 'scenes', 'visual', 'effects', 'weak', 'predictable', 'story']","['honest', 'i', 'start', 'doubt', 'i', 'saw', 'anoth', 'movi', 'i', 'dont', 'know', 'hype', 'anoth', 'marvel', 'movi', 'pack', 'lot', 'action', 'scene', 'visual', 'effect', 'weak', 'predict', 'stori']","['honestly', 'i', 'start', 'doubting', 'i', 'saw', 'another', 'movie', 'i', 'dont', 'know', 'hype', 'another', 'marvel', 'movie', 'packed', 'lot', 'action', 'scene', 'visual', 'effect', 'weak', 'predictable', 'story']"
148,When will Disney learn?,"I heard great things on the internet about this movie, so I had some pretty high expectations. Well, I was let down, and judging by the other reviews ALOT of other people were too. People are not going to put up with this crap for too much longer. I mean how many bad movies can Disney make in a row and expect people to continue to watch them?

I see Disney even tried to even throw some Anti American talk into this movie to try to get on China's good side....but even that did not work. China did not allow their citizens to watch it. I guess Disney will have to put even more Anti American talk into the next movie.

You messed up Star Wars Disney. Now you are messing up every Marvel movie. Maybe wokeness is not the way to go. PLEASE can someone buy Marvel from Disney before its too late??

3/10 Another very poor Disney Marvel movie.",i heard great things internet movie i pretty high expectations well i let judging reviews alot people people going put crap much longer i mean many bad movies disney make row expect people continue watch themi see disney even tried even throw anti american talk movie try get chinas good sidebut even work china allow citizens watch i guess disney put even anti american talk next movieyou messed star wars disney now messing every marvel movie maybe wokeness way go please someone buy marvel disney late another poor disney marvel movie,"['i', 'heard', 'great', 'things', 'internet', 'movie', 'i', 'pretty', 'high', 'expectations', 'well', 'i', 'let', 'judging', 'reviews', 'alot', 'people', 'people', 'going', 'put', 'crap', 'much', 'longer', 'i', 'mean', 'many', 'bad', 'movies', 'disney', 'make', 'row', 'expect', 'people', 'continue', 'watch', 'themi', 'see', 'disney', 'even', 'tried', 'even', 'throw', 'anti', 'american', 'talk', 'movie', 'try', 'get', 'chinas', 'good', 'sidebut', 'even', 'work', 'china', 'allow', 'citizens', 'watch', 'i', 'guess', 'disney', 'put', 'even', 'anti', 'american', 'talk', 'next', 'movieyou', 'messed', 'star', 'wars', 'disney', 'now', 'messing', 'every', 'marvel', 'movie', 'maybe', 'wokeness', 'way', 'go', 'please', 'someone', 'buy', 'marvel', 'disney', 'late', 'another', 'poor', 'disney', 'marvel', 'movie']","['i', 'heard', 'great', 'thing', 'internet', 'movi', 'i', 'pretti', 'high', 'expect', 'well', 'i', 'let', 'judg', 'review', 'alot', 'peopl', 'peopl', 'go', 'put', 'crap', 'much', 'longer', 'i', 'mean', 'mani', 'bad', 'movi', 'disney', 'make', 'row', 'expect', 'peopl', 'continu', 'watch', 'themi', 'see', 'disney', 'even', 'tri', 'even', 'throw', 'anti', 'american', 'talk', 'movi', 'tri', 'get', 'china', 'good', 'sidebut', 'even', 'work', 'china', 'allow', 'citizen', 'watch', 'i', 'guess', 'disney', 'put', 'even', 'anti', 'american', 'talk', 'next', 'movieyou', 'mess', 'star', 'war', 'disney', 'now', 'mess', 'everi', 'marvel', 'movi', 'mayb', 'woke', 'way', 'go', 'pleas', 'someon', 'buy', 'marvel', 'disney', 'late', 'anoth', 'poor', 'disney', 'marvel', 'movi']","['i', 'heard', 'great', 'thing', 'internet', 'movie', 'i', 'pretty', 'high', 'expectation', 'well', 'i', 'let', 'judging', 'review', 'alot', 'people', 'people', 'going', 'put', 'crap', 'much', 'longer', 'i', 'mean', 'many', 'bad', 'movie', 'disney', 'make', 'row', 'expect', 'people', 'continue', 'watch', 'themi', 'see', 'disney', 'even', 'tried', 'even', 'throw', 'anti', 'american', 'talk', 'movie', 'try', 'get', 'china', 'good', 'sidebut', 'even', 'work', 'china', 'allow', 'citizen', 'watch', 'i', 'guess', 'disney', 'put', 'even', 'anti', 'american', 'talk', 'next', 'movieyou', 'messed', 'star', 'war', 'disney', 'now', 'messing', 'every', 'marvel', 'movie', 'maybe', 'wokeness', 'way', 'go', 'please', 'someone', 'buy', 'marvel', 'disney', 'late', 'another', 'poor', 'disney', 'marvel', 'movie']"
149,Underwhelming in every way,"Stupid on every level. Fights are entertaining, but would rather watch any bad 70's chop socky movie over this poorly written, ludicrous story. Several of the characters are so unrelateable it makes me wonder if the writers, director or actors have ever met another person. Not worth the time to write this review except that somehow this is getting a 7.9 at this moment which cannot be real. IMDB should be embarrassed shilling for this mess.",stupid every level fights entertaining would rather watch bad chop socky movie poorly written ludicrous story several characters unrelateable makes wonder writers director actors ever met another person not worth time write review except somehow getting moment cannot real imdb embarrassed shilling mess,"['stupid', 'every', 'level', 'fights', 'entertaining', 'would', 'rather', 'watch', 'bad', 'chop', 'socky', 'movie', 'poorly', 'written', 'ludicrous', 'story', 'several', 'characters', 'unrelateable', 'makes', 'wonder', 'writers', 'director', 'actors', 'ever', 'met', 'another', 'person', 'not', 'worth', 'time', 'write', 'review', 'except', 'somehow', 'getting', 'moment', 'can', 'not', 'real', 'imdb', 'embarrassed', 'shilling', 'mess']","['stupid', 'everi', 'level', 'fight', 'entertain', 'would', 'rather', 'watch', 'bad', 'chop', 'socki', 'movi', 'poor', 'written', 'ludicr', 'stori', 'sever', 'charact', 'unrelat', 'make', 'wonder', 'writer', 'director', 'actor', 'ever', 'met', 'anoth', 'person', 'not', 'worth', 'time', 'write', 'review', 'except', 'somehow', 'get', 'moment', 'can', 'not', 'real', 'imdb', 'embarrass', 'shill', 'mess']","['stupid', 'every', 'level', 'fight', 'entertaining', 'would', 'rather', 'watch', 'bad', 'chop', 'socky', 'movie', 'poorly', 'written', 'ludicrous', 'story', 'several', 'character', 'unrelateable', 'make', 'wonder', 'writer', 'director', 'actor', 'ever', 'met', 'another', 'person', 'not', 'worth', 'time', 'write', 'review', 'except', 'somehow', 'getting', 'moment', 'can', 'not', 'real', 'imdb', 'embarrassed', 'shilling', 'mess']"
150,Wow how terrible,This new marvel movie is just bad. The main actor can't act and it's more about the side characters then him.,this new marvel movie bad the main actor cant act side characters,"['this', 'new', 'marvel', 'movie', 'bad', 'the', 'main', 'actor', 'cant', 'act', 'side', 'characters']","['this', 'new', 'marvel', 'movi', 'bad', 'the', 'main', 'actor', 'cant', 'act', 'side', 'charact']","['this', 'new', 'marvel', 'movie', 'bad', 'the', 'main', 'actor', 'cant', 'act', 'side', 'character']"
151,Simu Liu seem to be a nice guy...,"...and a decent actor, but he couldn't save my intrest for another moneymilking lack of substance Disney/Marvel production. Watched for 30 min and turned off because of the s*itty socalled music tormented my ears. It's just another predictable, trendvictimized hipster infested snore fest with a billion dollar special effects and no surprises, just another marvel movie for modern pop kids and i*iot sheep, only this time they wanna target the asian community. Asian people must be appalled and ashamed by this pile c*ap. And speaking of asians, what's the deal with that sidekick actress, she sounds exactly like S Johansson but more chronically butthurt, is she doing a voiceover? Bloody hell...",decent actor couldnt save intrest another moneymilking lack substance disneymarvel production watched min turned sitty socalled music tormented ears its another predictable trendvictimized hipster infested snore fest billion dollar special effects surprises another marvel movie modern pop kids iiot sheep time wanna target asian community asian people must appalled ashamed pile cap and speaking asians whats deal sidekick actress sounds exactly like s johansson chronically butthurt voiceover bloody hell,"['decent', 'actor', 'couldnt', 'save', 'intrest', 'another', 'moneymilking', 'lack', 'substance', 'disneymarvel', 'production', 'watched', 'min', 'turned', 'sitty', 'socalled', 'music', 'tormented', 'ears', 'its', 'another', 'predictable', 'trendvictimized', 'hipster', 'infested', 'snore', 'fest', 'billion', 'dollar', 'special', 'effects', 'surprises', 'another', 'marvel', 'movie', 'modern', 'pop', 'kids', 'iiot', 'sheep', 'time', 'wan', 'na', 'target', 'asian', 'community', 'asian', 'people', 'must', 'appalled', 'ashamed', 'pile', 'cap', 'and', 'speaking', 'asians', 'whats', 'deal', 'sidekick', 'actress', 'sounds', 'exactly', 'like', 's', 'johansson', 'chronically', 'butthurt', 'voiceover', 'bloody', 'hell']","['decent', 'actor', 'couldnt', 'save', 'intrest', 'anoth', 'moneymilk', 'lack', 'substanc', 'disneymarvel', 'product', 'watch', 'min', 'turn', 'sitti', 'socal', 'music', 'torment', 'ear', 'it', 'anoth', 'predict', 'trendvictim', 'hipster', 'infest', 'snore', 'fest', 'billion', 'dollar', 'special', 'effect', 'surpris', 'anoth', 'marvel', 'movi', 'modern', 'pop', 'kid', 'iiot', 'sheep', 'time', 'wan', 'na', 'target', 'asian', 'communiti', 'asian', 'peopl', 'must', 'appal', 'asham', 'pile', 'cap', 'and', 'speak', 'asian', 'what', 'deal', 'sidekick', 'actress', 'sound', 'exact', 'like', 's', 'johansson', 'chronic', 'butthurt', 'voiceov', 'bloodi', 'hell']","['decent', 'actor', 'couldnt', 'save', 'intrest', 'another', 'moneymilking', 'lack', 'substance', 'disneymarvel', 'production', 'watched', 'min', 'turned', 'sitty', 'socalled', 'music', 'tormented', 'ear', 'it', 'another', 'predictable', 'trendvictimized', 'hipster', 'infested', 'snore', 'fest', 'billion', 'dollar', 'special', 'effect', 'surprise', 'another', 'marvel', 'movie', 'modern', 'pop', 'kid', 'iiot', 'sheep', 'time', 'wan', 'na', 'target', 'asian', 'community', 'asian', 'people', 'must', 'appalled', 'ashamed', 'pile', 'cap', 'and', 'speaking', 'asian', 'whats', 'deal', 'sidekick', 'actress', 'sound', 'exactly', 'like', 's', 'johansson', 'chronically', 'butthurt', 'voiceover', 'bloody', 'hell']"
152,"Black Panther, but better","I wasn't really excited about MCU when Phase 4 was announced, but even then there were some things I was excited about and this movie wasn't one of those things. However, I liked it.

I wasn't disappointed like I was with Black Widow which massacred Taskmaster so bad.

It reminded me a lot of Black Panther. Non-white foreign protagonist, modern music and annoying sidekick.

But here is a twist. This movie does a way better job than Black Panther.

Humor was funnier, Katy didn't say anything cringe, we got real Mandarin and CGI battle didn't feel like PS2 cutscene.

If you want to watch an MCU movie from Phase 4 before No Way Home comes out, watch this.

Also, Eternals was awkward.",i wasnt really excited mcu phase announced even things i excited movie wasnt one things however i liked iti wasnt disappointed like i black widow massacred taskmaster badit reminded lot black panther nonwhite foreign protagonist modern music annoying sidekickbut twist this movie way better job black pantherhumor funnier katy didnt say anything cringe got real mandarin cgi battle didnt feel like ps cutsceneif want watch mcu movie phase no way home comes watch thisalso eternals awkward,"['i', 'wasnt', 'really', 'excited', 'mcu', 'phase', 'announced', 'even', 'things', 'i', 'excited', 'movie', 'wasnt', 'one', 'things', 'however', 'i', 'liked', 'iti', 'wasnt', 'disappointed', 'like', 'i', 'black', 'widow', 'massacred', 'taskmaster', 'badit', 'reminded', 'lot', 'black', 'panther', 'nonwhite', 'foreign', 'protagonist', 'modern', 'music', 'annoying', 'sidekickbut', 'twist', 'this', 'movie', 'way', 'better', 'job', 'black', 'pantherhumor', 'funnier', 'katy', 'didnt', 'say', 'anything', 'cringe', 'got', 'real', 'mandarin', 'cgi', 'battle', 'didnt', 'feel', 'like', 'ps', 'cutsceneif', 'want', 'watch', 'mcu', 'movie', 'phase', 'no', 'way', 'home', 'comes', 'watch', 'thisalso', 'eternals', 'awkward']","['i', 'wasnt', 'realli', 'excit', 'mcu', 'phase', 'announc', 'even', 'thing', 'i', 'excit', 'movi', 'wasnt', 'one', 'thing', 'howev', 'i', 'like', 'iti', 'wasnt', 'disappoint', 'like', 'i', 'black', 'widow', 'massacr', 'taskmast', 'badit', 'remind', 'lot', 'black', 'panther', 'nonwhit', 'foreign', 'protagonist', 'modern', 'music', 'annoy', 'sidekickbut', 'twist', 'this', 'movi', 'way', 'better', 'job', 'black', 'pantherhumor', 'funnier', 'kati', 'didnt', 'say', 'anyth', 'cring', 'got', 'real', 'mandarin', 'cgi', 'battl', 'didnt', 'feel', 'like', 'ps', 'cutsceneif', 'want', 'watch', 'mcu', 'movi', 'phase', 'no', 'way', 'home', 'come', 'watch', 'thisalso', 'etern', 'awkward']","['i', 'wasnt', 'really', 'excited', 'mcu', 'phase', 'announced', 'even', 'thing', 'i', 'excited', 'movie', 'wasnt', 'one', 'thing', 'however', 'i', 'liked', 'iti', 'wasnt', 'disappointed', 'like', 'i', 'black', 'widow', 'massacred', 'taskmaster', 'badit', 'reminded', 'lot', 'black', 'panther', 'nonwhite', 'foreign', 'protagonist', 'modern', 'music', 'annoying', 'sidekickbut', 'twist', 'this', 'movie', 'way', 'better', 'job', 'black', 'pantherhumor', 'funnier', 'katy', 'didnt', 'say', 'anything', 'cringe', 'got', 'real', 'mandarin', 'cgi', 'battle', 'didnt', 'feel', 'like', 'p', 'cutsceneif', 'want', 'watch', 'mcu', 'movie', 'phase', 'no', 'way', 'home', 'come', 'watch', 'thisalso', 'eternals', 'awkward']"
153,Very overrated,"Definitely just watched another Marvel movie, nothing much else here. Felt very formulaic and chick heavy like many of the other films, would've liked to see them change things up a bit.",definitely watched another marvel movie nothing much else felt formulaic chick heavy like many films wouldve liked see change things bit,"['definitely', 'watched', 'another', 'marvel', 'movie', 'nothing', 'much', 'else', 'felt', 'formulaic', 'chick', 'heavy', 'like', 'many', 'films', 'wouldve', 'liked', 'see', 'change', 'things', 'bit']","['definit', 'watch', 'anoth', 'marvel', 'movi', 'noth', 'much', 'els', 'felt', 'formula', 'chick', 'heavi', 'like', 'mani', 'film', 'wouldv', 'like', 'see', 'chang', 'thing', 'bit']","['definitely', 'watched', 'another', 'marvel', 'movie', 'nothing', 'much', 'else', 'felt', 'formulaic', 'chick', 'heavy', 'like', 'many', 'film', 'wouldve', 'liked', 'see', 'change', 'thing', 'bit']"
154,A fresh entry to the MCU!,"After being disappointed by Black Widows' solo outing and not knowing anything about a minor comics character I feared for Shang-Chi. But I was not disappointed.

Straight off and you get a cultured vibe honouring Asian film and tradition and you get superb action and charismatic characters all well delivered by a strong cast.

Reminding me of Jackie Chan in his heyday, the martial arts is fast and creative. Shang-chi feels really grounded and fresh for the first half of the film and it's good to move away from too much wild. But then the second half blends Asian folklore and Marvel fantasy to truly deliver a spectacle. Without having to explain itself too deeply the consistent nods to Dr Strange remind you that other dimensions exist and people can bend powers in believable ways.

Whilst it may not have needed to go so far onto fantasy, any true Marvel fan knows this is just another tuesday. The performances are strongly delivered and Shang-Chi is likely to become a new fan favourite.",after disappointed black widows solo outing knowing anything minor comics character i feared shangchi but i disappointedstraight get cultured vibe honouring asian film tradition get superb action charismatic characters well delivered strong castreminding jackie chan heyday martial arts fast creative shangchi feels really grounded fresh first half film good move away much wild but second half blends asian folklore marvel fantasy truly deliver spectacle without explain deeply consistent nods dr strange remind dimensions exist people bend powers believable wayswhilst may needed go far onto fantasy true marvel fan knows another tuesday the performances strongly delivered shangchi likely become new fan favourite,"['after', 'disappointed', 'black', 'widows', 'solo', 'outing', 'knowing', 'anything', 'minor', 'comics', 'character', 'i', 'feared', 'shangchi', 'but', 'i', 'disappointedstraight', 'get', 'cultured', 'vibe', 'honouring', 'asian', 'film', 'tradition', 'get', 'superb', 'action', 'charismatic', 'characters', 'well', 'delivered', 'strong', 'castreminding', 'jackie', 'chan', 'heyday', 'martial', 'arts', 'fast', 'creative', 'shangchi', 'feels', 'really', 'grounded', 'fresh', 'first', 'half', 'film', 'good', 'move', 'away', 'much', 'wild', 'but', 'second', 'half', 'blends', 'asian', 'folklore', 'marvel', 'fantasy', 'truly', 'deliver', 'spectacle', 'without', 'explain', 'deeply', 'consistent', 'nods', 'dr', 'strange', 'remind', 'dimensions', 'exist', 'people', 'bend', 'powers', 'believable', 'wayswhilst', 'may', 'needed', 'go', 'far', 'onto', 'fantasy', 'true', 'marvel', 'fan', 'knows', 'another', 'tuesday', 'the', 'performances', 'strongly', 'delivered', 'shangchi', 'likely', 'become', 'new', 'fan', 'favourite']","['after', 'disappoint', 'black', 'widow', 'solo', 'outing', 'know', 'anyth', 'minor', 'comic', 'charact', 'i', 'fear', 'shangchi', 'but', 'i', 'disappointedstraight', 'get', 'cultur', 'vibe', 'honour', 'asian', 'film', 'tradit', 'get', 'superb', 'action', 'charismat', 'charact', 'well', 'deliv', 'strong', 'castremind', 'jacki', 'chan', 'heyday', 'martial', 'art', 'fast', 'creativ', 'shangchi', 'feel', 'realli', 'ground', 'fresh', 'first', 'half', 'film', 'good', 'move', 'away', 'much', 'wild', 'but', 'second', 'half', 'blend', 'asian', 'folklor', 'marvel', 'fantasi', 'truli', 'deliv', 'spectacl', 'without', 'explain', 'deepli', 'consist', 'nod', 'dr', 'strang', 'remind', 'dimens', 'exist', 'peopl', 'bend', 'power', 'believ', 'wayswhilst', 'may', 'need', 'go', 'far', 'onto', 'fantasi', 'true', 'marvel', 'fan', 'know', 'anoth', 'tuesday', 'the', 'perform', 'strong', 'deliv', 'shangchi', 'like', 'becom', 'new', 'fan', 'favourit']","['after', 'disappointed', 'black', 'widow', 'solo', 'outing', 'knowing', 'anything', 'minor', 'comic', 'character', 'i', 'feared', 'shangchi', 'but', 'i', 'disappointedstraight', 'get', 'cultured', 'vibe', 'honouring', 'asian', 'film', 'tradition', 'get', 'superb', 'action', 'charismatic', 'character', 'well', 'delivered', 'strong', 'castreminding', 'jackie', 'chan', 'heyday', 'martial', 'art', 'fast', 'creative', 'shangchi', 'feel', 'really', 'grounded', 'fresh', 'first', 'half', 'film', 'good', 'move', 'away', 'much', 'wild', 'but', 'second', 'half', 'blend', 'asian', 'folklore', 'marvel', 'fantasy', 'truly', 'deliver', 'spectacle', 'without', 'explain', 'deeply', 'consistent', 'nod', 'dr', 'strange', 'remind', 'dimension', 'exist', 'people', 'bend', 'power', 'believable', 'wayswhilst', 'may', 'needed', 'go', 'far', 'onto', 'fantasy', 'true', 'marvel', 'fan', 'know', 'another', 'tuesday', 'the', 'performance', 'strongly', 'delivered', 'shangchi', 'likely', 'become', 'new', 'fan', 'favourite']"
155,"Generic, excessive jokes and lazy writing",The Marvel Studios once again makes a movie that uses jokes instead of making a good character development.,the marvel studios makes movie uses jokes instead making good character development,"['the', 'marvel', 'studios', 'makes', 'movie', 'uses', 'jokes', 'instead', 'making', 'good', 'character', 'development']","['the', 'marvel', 'studio', 'make', 'movi', 'use', 'joke', 'instead', 'make', 'good', 'charact', 'develop']","['the', 'marvel', 'studio', 'make', 'movie', 'us', 'joke', 'instead', 'making', 'good', 'character', 'development']"
156,Nonsense,"Nonsense dumb time wasted.

Lots of dumb jokes Nothing new Weak story Making fun of male characters is not nice and we don't want to see that.",nonsense dumb time wastedlots dumb jokes nothing new weak story making fun male characters nice dont want see,"['nonsense', 'dumb', 'time', 'wastedlots', 'dumb', 'jokes', 'nothing', 'new', 'weak', 'story', 'making', 'fun', 'male', 'characters', 'nice', 'dont', 'want', 'see']","['nonsens', 'dumb', 'time', 'wastedlot', 'dumb', 'joke', 'noth', 'new', 'weak', 'stori', 'make', 'fun', 'male', 'charact', 'nice', 'dont', 'want', 'see']","['nonsense', 'dumb', 'time', 'wastedlots', 'dumb', 'joke', 'nothing', 'new', 'weak', 'story', 'making', 'fun', 'male', 'character', 'nice', 'dont', 'want', 'see']"
